"","ORF","GENENAME"
"1272","PF3D7_1347600","conserved Plasmodium protein, unknown function"
"1273","PF3D7_1347700","ethanolamine-phosphate cytidylyltransferase (ECT)"
"1274","PF3D7_1347800","leucine-rich repeat protein (LRR4.1)"
"1275","PF3D7_1347900","conserved Plasmodium protein, unknown function"
"1276","PF3D7_1348000","conserved Plasmodium protein, unknown function"
"1277","PF3D7_1348100","GTPase, putative"
"1278","PF3D7_1348200","step II splicing factor, putative"
"1279","PF3D7_1348300","elongation factor Tu, putative"
"1280","PF3D7_1348400","conserved Plasmodium membrane protein, unknown function"
"1281","PF3D7_1348500","TBC domain protein, putative"
"1282","PF3D7_1348600","conserved Plasmodium protein, unknown function"
"1283","PF3D7_1348700","WD repeat-containing protein 16, putative (WDR16)"
"1284","PF3D7_1348800","E1-E2 ATPase, putative"
"1285","PF3D7_1348900","conserved Plasmodium protein, unknown function"
"1286","PF3D7_1349000","conserved Plasmodium protein, unknown function"
"1287","PF3D7_1349100","nucleoside diphosphate hydrolase, putative"
"1288","PF3D7_1349200","glutamate--tRNA ligase, putative"
"1289","PF3D7_1349300","tyrosine kinase-like protein (TKL3)"
"1290","PF3D7_1349400","cytidine and deoxycytidylate deaminase, putative"
"1291","PF3D7_1349500","conserved Plasmodium protein, unknown function"
"1292","PF3D7_1349600","conserved Plasmodium protein, unknown function"
"1293","PF3D7_1349700","peptidase, putative"
"1294","PF3D7_1349800","nucleolar preribosomal associated cytoplasmic ATPase, putative"
"1295","PF3D7_1349900","conserved Plasmodium protein, unknown function"
"1296","PF3D7_1350000","conserved Plasmodium protein, unknown function"
"1297","PF3D7_1350100","lysine--tRNA ligase (KRS1)"
"1298","PF3D7_1350200","small nuclear ribonucleoprotein E, putative (SNRPE)"
"1299","PF3D7_1350300","conserved Plasmodium protein, unknown function"
"1300","PF3D7_1350400","ubiquitin-activating enzyme E1, putative"
"1301","PF3D7_1350500","conserved Plasmodium protein, unknown function"
"1302","PF3D7_1350600","conserved Plasmodium protein, unknown function"
"1303","PF3D7_1350700","N6-adenine-specific methylase, putative"
"1304","PF3D7_1350800","conserved Plasmodium protein, unknown function"
"1305","PF3D7_1350900","transcription factor with AP2 domain(s) (ApiAP2)"
"1306","PF3D7_1351000","phosphatidylinositol transfer protein, putative"
"1307","PF3D7_1351100","conserved protein, unknown function"
"1308","PF3D7_1351200","conserved Plasmodium protein, unknown function"
"1309","PF3D7_1351300","conserved Plasmodium membrane protein, unknown function"
"1310","PF3D7_1351400","60S ribosomal protein L17, putative"
"1311","PF3D7_1351500","small nucleolar RNA snoR21"
"1312","PF3D7_1351600","glycerol kinase (GK)"
"1313","PF3D7_1351700","inner membrane complex protein 1f, putative (IMC1f)"
"1314","PF3D7_1351900","conserved Plasmodium protein, unknown function"
"1315","PF3D7_1352000","conserved Plasmodium protein, unknown function"
"1316","PF3D7_1352100","ABC transporter B family member 6, putative (ABCB6)"
"1317","PF3D7_1352200","U3 small nucleolar RNA-associated protein 15, putative (UTP15)"
"1318","PF3D7_1352300","conserved Plasmodium protein, unknown function"
"1319","PF3D7_1352400","conserved Plasmodium protein, unknown function"
"1320","PF3D7_1352500","thioredoxin-related protein, putative"
"1321","PF3D7_1352600","protein kinase, putative"
"1322","PF3D7_1352700","P-loop containing nucleoside triphosphate hydrolase, putative"
"1323","PF3D7_1352800","vacuolar fusion protein MON1, putative"
"1324","PF3D7_1352900","Plasmodium exported protein, unknown function"
"1325","PF3D7_1353000","tryptophan-rich antigen, pseudogene"
"1326","PF3D7_1353100","Plasmodium exported protein, unknown function"
"1327","PF3D7_1353200","membrane associated histidine-rich protein (MAHRP2)"
"1328","PF3D7_1353300","conserved Plasmodium protein, unknown function"
"1329","PF3D7_1353400","Ran-binding protein, putative"
"1330","PF3D7_1353500","RNA polymerase II transcription factor B subunit 4, putative (TFB4)"
"1331","PF3D7_1353600","ER lumen protein retaining receptor (ERD2)"
"1332","PF3D7_1353700","reactive oxygen species modulator 1, putative (ROMO1)"
"1333","PF3D7_1353800","proteasome subunit alpha type-4, putative"
"1334","PF3D7_1353900","proteasome subunit alpha type-7, putative"
"1335","PF3D7_1354000","conserved Plasmodium protein, unknown function"
"1336","PF3D7_1354100","conserved Plasmodium protein, unknown function"
"1337","PF3D7_1354200","inositol-polyphosphate 5-phosphatase, putative (IP5P)"
"1338","PF3D7_1354300","large subunit rRNA methyltransferase, putative"
"1339","PF3D7_1354400","V-type proton ATPase 21 kDa proteolipid subunit, putative"
"1340","PF3D7_1354500","adenylosuccinate synthetase (ADSS)"
"1341","PF3D7_1354600","60S ribosomal protein L7-2, putative"
"1342","PF3D7_1354700","conserved Plasmodium protein, unknown function"
"1343","PF3D7_1354800","metacaspase 1 (MCA1)"
"1344","PF3D7_1354900","conserved Plasmodium protein, unknown function"
"1345","PF3D7_1355100","DNA replication licensing factor MCM6 (MCM6)"
"1346","PF3D7_1355200","RAP protein, putative"
"1347","PF3D7_1355300","histone-lysine N-methyltransferase, putative (SET6)"
"1348","PF3D7_1355400","tRNA Threonine"
"1349","PF3D7_1355500","serine/threonine protein phosphatase 5 (PP5)"
"1350","PF3D7_1355600","conserved Plasmodium protein, unknown function"
"1351","PF3D7_1355700","NLI interacting factor-like phosphatase, putative (NIF3)"
"1352","PF3D7_1355800","splicing factor 3B subunit 5, putative (SF3B5)"
"1353","PF3D7_1355900","conserved protein, unknown function"
"1354","PF3D7_1356000","conserved Plasmodium protein, unknown function"
"1355","PF3D7_1356100","conserved Plasmodium protein, unknown function"
"1356","PF3D7_1356200","mitochondrial import inner membrane translocase subunit TIM23, putative (TIM23)"
"1357","PF3D7_1356300","ubiquitin-conjugating enzyme, putative"
"1358","PF3D7_1356400","phosphatase 2A regulatory subunit-related protein, putative"
"1359","PF3D7_1356500","conserved Plasmodium protein, unknown function"
"1360","PF3D7_1356600","regulator of chromosome condensation, putative"
"1361","PF3D7_1356700","DnaJ protein, putative"
"1362","PF3D7_1356800","serine/threonine protein kinase, putative (ARK3)"
"1363","PF3D7_1356900","protein kinase 5 (PK5)"
"1364","PF3D7_1357000","elongation factor 1-alpha"
"1365","PF3D7_1357100","elongation factor 1-alpha"
"1366","PF3D7_1357200","glutamate--tRNA ligase"
"1367","PF3D7_1357300","dynein light chain, putative"
"1368","PF3D7_1357400","conserved Plasmodium protein, unknown function"
"1369","PF3D7_1357500","DNA helicase, putative"
"1370","PF3D7_1357600","conserved Plasmodium protein, unknown function"
"1371","PF3D7_1357700","U3 small nucleolar RNA-associated protein 21, putative (UTP21)"
"1372","PF3D7_1357800","T-complex protein 1 subunit delta (CCT4)"
"1373","PF3D7_1357900","pyrroline-5-carboxylate reductase"
"1374","PF3D7_1358000","patatin-like phospholipase, putative"
"1375","PF3D7_1358100","small subunit rRNA processing factor, putative"
"1376","PF3D7_1358200","conserved Plasmodium protein, unknown function"
"1377","PF3D7_1358300","rhomboid protease ROM7 (ROM7)"
"1378","PF3D7_1358400","conserved Plasmodium protein, unknown function"
"1379","PF3D7_1358500","zinc finger protein, putative"
"1380","PF3D7_1358600","zinc finger protein, putative"
"1381","PF3D7_1358700","HVA22-like protein, putative"
"1382","PF3D7_1358800","40S ribosomal protein S15 (RPS15)"
"1383","PF3D7_1358900","GTP-binding protein, putative"
"1384","PF3D7_1359000","conserved Plasmodium protein, unknown function"
"1385","PF3D7_1359100","riboflavin kinase / FAD synthase family protein, putative"
"1386","PF3D7_1359200","high mobility group protein B4, putative (HMGB4)"
"1387","PF3D7_1359300","exosome complex exonuclease RRP44 (DIS3)"
"1388","PF3D7_1359400","CUGBP Elav-like family member 1 (CELF1)"
"1389","PF3D7_1359500","conserved Plasmodium protein, unknown function"
"1390","PF3D7_1359600","conserved Plasmodium protein, unknown function"
"1391","PF3D7_1359700","conserved Plasmodium protein, unknown function"
"1392","PF3D7_1359800","ADP-ribosylation factor, putative"
"1393","PF3D7_1359900","conserved Plasmodium membrane protein, unknown function"
"1394","PF3D7_1360000","conserved Plasmodium protein, unknown function"
"1395","PF3D7_1360100","RNA-binding protein, putative"
"1396","PF3D7_1360200","ER membrane protein complex subunit 3, putative (EMC3)"
"1397","PF3D7_1360300","conserved Plasmodium protein, unknown function"
"1398","PF3D7_1360400","conserved Plasmodium protein, unknown function"
"1399","PF3D7_1360500","guanylyl cyclase beta (GCbeta)"
"1400","PF3D7_1360700","E3 SUMO-protein ligase PIAS, putative (PIAS)"
"1401","PF3D7_1360800","falcilysin (FLN)"
"1402","PF3D7_1360900.1",NA
"1403","PF3D7_1361000","protein arginine N-methyltransferase 5, putative (PRMT5)"
"1404","PF3D7_1361100","protein transport protein Sec24A (SEC24A)"
"1405","PF3D7_1361200","conserved Plasmodium protein, unknown function"
"1406","PF3D7_1361300","conserved Plasmodium protein, unknown function"
"1407","PF3D7_1361400","actin-depolymerizing factor 2 (ADF2)"
"1408","PF3D7_1361500.1","conserved Plasmodium protein, unknown function"
"1409","PF3D7_1361600","iron-sulfur assembly protein, putative"
"1410","PF3D7_1361700","cytochrome c oxidase subunit 2, putative"
"1411","PF3D7_1361800","conserved Plasmodium protein, unknown function"
"1412","PF3D7_1361900","proliferating cell nuclear antigen 1 (PCNA1)"
"1413","PF3D7_1362000","conserved Plasmodium protein, unknown function"
"1414","PF3D7_1362100","14-3-3 protein (14-3-3II)"
"1415","PF3D7_1362200","RuvB-like helicase 3 (RUVB3)"
"1416","PF3D7_1362300","conserved protein, unknown function"
"1417","PF3D7_1362400","calpain (Pcalp)"
"1418","PF3D7_1362500","exonuclease, putative"
"1419","PF3D7_1362600","conserved Plasmodium protein, unknown function"
"1420","PF3D7_1362700","conserved Plasmodium protein, unknown function"
"1421","PF3D7_1362800","conserved Plasmodium protein, unknown function"
"1422","PF3D7_1362900","conserved Plasmodium protein, unknown function"
"1423","PF3D7_1363000","conserved Plasmodium protein, unknown function"
"1424","PF3D7_1363100","conserved Plasmodium protein, unknown function"
"1425","PF3D7_1363200","bifunctional polynucleotide phosphatase/kinase (PNKP)"
"1426","PF3D7_1363300","50S ribosomal protein L9, mitochondrial, putative"
"1427","PF3D7_1363400","polyubiquitin binding protein, putative (DOA1)"
"1428","PF3D7_1363500","DNase I-like protein, putative"
"1429","PF3D7_1363600","conserved Plasmodium protein, unknown function"
"1430","PF3D7_1363700","conserved Plasmodium protein, unknown function"
"1431","PF3D7_1363800","nuclear fusion protein, putative (GEX1)"
"1432","PF3D7_1363900","unspecified product"
"1433","PF3D7_1364000","conserved Plasmodium protein, unknown function"
"1434","PF3D7_1364100","6-cysteine protein (P92)"
"1435","PF3D7_1364200","conserved Plasmodium protein, unknown function"
"1436","PF3D7_1364300","pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16 (PRP16)"
"1437","PF3D7_1364400","conserved Plasmodium protein, unknown function"
"1438","PF3D7_1364500","exosome complex component RRP45, putative (RRP45)"
"1439","PF3D7_1364600","aldehyde reductase, putative"
"1440","PF3D7_1364700","conserved Plasmodium protein, unknown function, pseudogene"
"1441","PF3D7_1364800","DNA-directed RNA polymerase II, putative"
"1442","PF3D7_1364900","ferrochelatase (FC)"
"1443","PF3D7_1365000","conserved Plasmodium protein, unknown function"
"1444","PF3D7_1365100","mitochondrial ribosomal protein S17 precursor, putative"
"1445","PF3D7_1365200","conserved Plasmodium protein, unknown function"
"1446","PF3D7_1365300","conserved Plasmodium protein, unknown function"
"1447","PF3D7_1365400","ubiquitin-activating enzyme (Uba2)"
"1448","PF3D7_1365500","glycine cleavage system T protein, putative (GCVT)"
"1449","PF3D7_1365600","DNA topoisomerase VI, b subunit, putative"
"1450","PF3D7_1365700","SNARE associated Golgi protein, putative"
"1451","PF3D7_1365800","conserved Plasmodium protein, unknown function"
"1452","PF3D7_1365900","ubiquitin-60S ribosomal protein L40"
"1453","PF3D7_1366000","conserved Plasmodium protein, unknown function"
"1454","PF3D7_1366100","conserved Plasmodium protein, unknown function"
"1455","PF3D7_1366200","conserved Plasmodium protein, unknown function"
"1456","PF3D7_1366300","conserved Plasmodium protein, unknown function"
"1457","PF3D7_1366400","rhoptry protein RHOP148 (RHOP148)"
"1458","PF3D7_1366500","nucleoside diphosphate kinase (NDK)"
"1459","PF3D7_1366600","signal recognition particle receptor alpha subunit (SRPR-alpha)"
"1460","PF3D7_1366700","conserved Plasmodium protein, unknown function"
"1461","PF3D7_1366800","phosphatidylserine synthase, putative"
"1462","PF3D7_1366900","conserved Plasmodium protein, unknown function"
"1463","PF3D7_1367000","suppressor of kinetochore protein 1, putative (SKP1)"
"1464","PF3D7_1367100","U1 small nuclear ribonucleoprotein, putative"
"1465","PF3D7_1367200","conserved Plasmodium protein, unknown function"
"1466","PF3D7_1367300","conserved Plasmodium protein, unknown function"
"1467","PF3D7_1367400","conserved Plasmodium protein, unknown function"
"1468","PF3D7_1367500","NADH-cytochrome b5 reductase, putative"
"1469","PF3D7_1367600","ribosome biogenesis protein MRT4, putative"
"1470","PF3D7_1367700","alanine--tRNA ligase (AlaRS)"
"1471","PF3D7_1367800","secreted ookinete protein, putative (PSOP2)"
"1472","PF3D7_1367900","conserved Plasmodium protein, unknown function"
"1473","PF3D7_1368000","conserved Plasmodium protein, unknown function"
"1474","PF3D7_1368100","26S proteasome regulatory subunit RPN11, putative (RPN11)"
"1475","PF3D7_1368200","ABC transporter E family member 1, putative (ABCE1)"
"1476","PF3D7_1368300","conserved Plasmodium protein, unknown function"
"1477","PF3D7_1368400","conserved Plasmodium protein, unknown function"
"1478","PF3D7_1368500","conserved Plasmodium protein, unknown function"
"1479","PF3D7_1368600","mitochondrial import inner membrane translocase subunit TIM9, putative (TIM9)"
"1480","PF3D7_1368700","mitochondrial carrier protein, putative"
"1481","PF3D7_1368800","DNA repair endonuclease, putative (ERCC4)"
"1482","PF3D7_1368900","conserved Plasmodium protein, unknown function"
"1483","PF3D7_1369000","glycosylphosphatidylinositol anchor attachment 1 protein, putative (GPAA1)"
"1484","PF3D7_1369100","conserved Plasmodium protein, unknown function"
"1485","PF3D7_1369200","conserved Plasmodium protein, unknown function"
"1486","PF3D7_1369300","conserved Plasmodium protein, unknown function"
"1487","PF3D7_1369400","conserved Plasmodium protein, unknown function"
"1488","PF3D7_1369500","conserved Plasmodium protein, unknown function"
"1489","PF3D7_1369600","conserved Plasmodium protein, unknown function"
"1490","PF3D7_1369700","U2 small nuclear ribonucleoprotein A', putative"
"1491","PF3D7_1369800","tRNA Arginine"
"1492","PF3D7_1369900","tRNA Tryptophan"
"1493","PF3D7_1370000","tRNA Arginine"
"1494","PF3D7_1370100","tRNA Cysteine"
"1495","PF3D7_1370200","tRNA Glycine"
"1496","PF3D7_1370300","membrane associated histidine-rich protein (MAHRP1)"
"1497","PF3D7_1370500","unspecified product"
"1498","PF3D7_1370800","unspecified product"
"1499","PF3D7_1370900","unspecified product"
"1500","PF3D7_1371000","18S ribosomal RNA"
"1501","PF3D7_1371200","5.8S ribosomal RNA"
"1502","PF3D7_1371300","28S ribosomal RNA"
"1503","PF3D7_1371500","probable protein, unknown function"
"1504","PF3D7_1371600","erythrocyte binding like protein 1, pseudogene (EBL1)"
"1505","PF3D7_1371700","serine/threonine protein kinase, FIKK family"
"1506","PF3D7_1371800","Plasmodium exported protein, unknown function"
"1507","PF3D7_1371900","Plasmodium exported protein, unknown function"
"1508","PF3D7_1372000","Plasmodium exported protein (PHISTa), unknown function"
"1509","PF3D7_1372100","Plasmodium exported protein (PHISTb), unknown function (GEXP04)"
"1510","PF3D7_1372200","histidine-rich protein III (HRPIII)"
"1511","PF3D7_1372300","Plasmodium exported protein (PHIST), unknown function"
"1512","PF3D7_1372400","acyl-CoA synthetase (ACS4)"
"1513","PF3D7_1372500","stevor, pseudogene"
"1514","PF3D7_1372600","rifin (RIF)"
"1515","PF3D7_1372700","rifin (RIF)"
"1516","PF3D7_1372800","stevor"
"1517","PF3D7_1372900","erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene (VAR)"
"1518","PF3D7_1373000","rifin (RIF)"
"1519","PF3D7_1373100","rifin (RIF)"
"1520","PF3D7_1373200","Plasmodium exported protein, unknown function, fragment"
"1521","PF3D7_1373300","rifin (RIF)"
"1522","PF3D7_1373400","rifin (RIF)"
"1523","PF3D7_1373500","erythrocyte membrane protein 1, PfEMP1 (VAR)"
"1524","PF3D7_1200100","erythrocyte membrane protein 1, PfEMP1 (VAR)"
"1525","PF3D7_1200200","rifin (RIF)"
"1526","PF3D7_1200300","rifin (RIF)"
"1527","PF3D7_1200400","erythrocyte membrane protein 1, PfEMP1 (VAR)"
"1528","PF3D7_1200500","rifin (RIF)"
"1529","PF3D7_1200600","erythrocyte membrane protein 1, PfEMP1 (VAR2CSA)"
"1530","PF3D7_1200610",NA
"1531","PF3D7_1200700","acyl-CoA synthetase (ACS7)"
"1532","PF3D7_1200800","serine/threonine protein kinase, FIKK family (FIKK12)"
"1533","PF3D7_1200900","Plasmodium exported protein (PHISTc), unknown function"
"1534","PF3D7_1201000","Plasmodium exported protein (PHISTb), unknown function"
"1535","PF3D7_1201100","RESA-like protein with PHIST and DnaJ domains"
"1536","PF3D7_1201200","Plasmodium exported protein (PHISTa-like), unknown function"
"1537","PF3D7_1201300","liver stage associated protein 1 (LSAP1)"
"1538","PF3D7_1201400","Plasmodium exported protein, unknown function"
"1539","PF3D7_1201500","XPA binding protein 1, putative"
"1540","PF3D7_1201600","NIMA related kinase 3 (NEK3)"
"1541","PF3D7_1201700","conserved Plasmodium membrane protein, unknown function"
"1542","PF3D7_1201800","cytochrome c oxidase assembly protein COX19, putative (COX19)"
"1543","PF3D7_1201900","conserved protein, unknown function"
"1544","PF3D7_1202000","ATP-dependent RNA helicase, putative"
"1545","PF3D7_1202200","mitochondrial phosphate carrier protein (MPC)"
"1546","PF3D7_1202300","dynein heavy chain, putative"
"1547","PF3D7_1202400","peptidyl-prolyl cis-trans isomerase (CYP26)"
"1548","PF3D7_1202500","trimethylguanosine synthase, putative"
"1549","PF3D7_1202600","conserved protein, unknown function"
"1550","PF3D7_1202700","conserved Plasmodium protein, unknown function"
"1551","PF3D7_1202800","conserved Plasmodium protein, unknown function"
"1552","PF3D7_1202900","high mobility group protein B1 (HMGB1)"
"1553","PF3D7_1203000","origin recognition complex subunit 1 (ORC1)"
"1554","PF3D7_1203100","conserved Plasmodium protein, unknown function"
"1555","PF3D7_1203200","signal recognition particle subunit SRP14 (SRP14)"
"1556","PF3D7_1203300","conserved Plasmodium protein, unknown function"
"1557","PF3D7_1203400","transporter, putative"
"1558","PF3D7_1203500","threonylcarbamoyl-AMP synthase, putative (SUA5)"
"1559","PF3D7_1203600","cytochrome c1 heme lyase, putative"
"1560","PF3D7_1203700","nucleosome assembly protein (NAPL)"
"1561","PF3D7_1203800","unspecified product"
"1562","PF3D7_1203900","ubiquitin-conjugating enzyme E2 (UBC)"
"1563","PF3D7_1204000","conserved Plasmodium protein, unknown function"
"1564","PF3D7_1204100","conserved Plasmodium protein, unknown function"
"1565","PF3D7_1204200","conserved Plasmodium protein, unknown function"
"1566","PF3D7_1204300","eukaryotic translation initiation factor 5A (EIF5A)"
"1567","PF3D7_1204400","conserved Plasmodium membrane protein, unknown function"
"1568","PF3D7_1204500","conserved Plasmodium protein, unknown function"
"1569","PF3D7_1204600","cytidine deaminase, putative"
"1570","PF3D7_1204700","conserved Plasmodium protein, unknown function"
"1571","PF3D7_1204900","probable protein, unknown function"
"1572","PF3D7_1205000","conserved Plasmodium protein, unknown function"
"1573","PF3D7_1205100","O-phosphoseryl-tRNA(Sec) selenium transferase, putative (SEPSECS)"
"1574","PF3D7_1205200","HAD domain ookinete protein, putative (HADO)"
"1575","PF3D7_1205300","conserved Plasmodium protein, unknown function"
"1576","PF3D7_1205400","conserved Plasmodium protein, unknown function"
"1577","PF3D7_1205500","zinc finger protein, putative"
"1578","PF3D7_1205600","conserved Plasmodium protein, unknown function"
"1579","PF3D7_1205700","targeted glyoxalase II (tGloII)"
"1580","PF3D7_1205800","high mobility group protein B3, putative (HMGB3)"
"1581","PF3D7_1205900","conserved protein, unknown function"
"1582","PF3D7_1206000","shewanella-like protein phosphatase 2 (SHLP2)"
"1583","PF3D7_1206100","IMP-specific 5'-nucleotidase, putative"
"1584","PF3D7_1206200","eukaryotic translation initiation factor 3 subunit C, putative (EIF3C)"
"1585","PF3D7_1206300","conserved Plasmodium protein, unknown function"
"1586","PF3D7_1206400","rhodanese like protein, putative"
"1587","PF3D7_1206500","Tat binding protein 1(TBP-1)-interacting protein, putative"
"1588","PF3D7_1206600","DNA-directed RNA polymerase III subunit, putative"
"1589","PF3D7_1206700","eukaryotic translation initiation factor 5, putative"
"1590","PF3D7_1206800","conserved Plasmodium protein, unknown function"
"1591","PF3D7_1206900","conserved Plasmodium protein, unknown function"
"1592","PF3D7_1207000","conserved Plasmodium protein, unknown function"
"1593","PF3D7_1207100","small subunit rRNA processing factor, putative"
"1594","PF3D7_1207200","conserved Plasmodium protein, unknown function"
"1595","PF3D7_1207300","conserved Plasmodium protein, unknown function"
"1596","PF3D7_1207400","conserved Plasmodium protein, unknown function"
"1597","PF3D7_1207500","RNA-binding protein, putative"
"1598","PF3D7_1207600","tRNA delta(2)-isopentenylpyrophosphate transferase, putative (MiaA)"
"1599","PF3D7_1207700","blood stage antigen 41-3 precursor"
"1600","PF3D7_1207800","conserved Plasmodium protein, unknown function"
"1601","PF3D7_1207900","conserved Plasmodium protein, unknown function"
"1602","PF3D7_1208000","apicoplast ribosomal protein L29 precursor, putative"
"1603","PF3D7_1208100","conserved Plasmodium protein, unknown function"
"1604","PF3D7_1208200","cysteine repeat modular protein 3 (CRMP3)"
"1605","PF3D7_1208300","mitochondrial ACP precursor, putative"
"1606","PF3D7_1208400","amino acid transporter, putative"
"1607","PF3D7_1208500","conserved Plasmodium protein, unknown function"
"1608","PF3D7_1208600","mitochondrial import inner membrane translocase subunit TIM10, putative (TIM10)"
"1609","PF3D7_1208700","conserved protein, unknown function"
"1610","PF3D7_1208800","zinc finger protein, putative"
"1611","PF3D7_1208900","protein phosphatase, putative"
"1612","PF3D7_1209000","conserved Plasmodium protein, unknown function"
"1613","PF3D7_1209100","conserved Plasmodium protein, unknown function"
"1614","PF3D7_1209200","U6 snRNA-associated Sm-like protein LSm7, putative (LSM7)"
"1615","PF3D7_1209300","zinc finger transcription factor, putative (KROX1)"
"1616","PF3D7_1209400","cytosolic iron-sulfur protein assembly protein 1, putative (CIA1)"
"1617","PF3D7_1209600","porphobilinogen deaminase (PBGD)"
"1618","PF3D7_1209700","conserved Plasmodium protein, unknown function"
"1619","PF3D7_1209800","ATP synthase mitochondrial F1 complex assembly factor 1, putative (ATP11)"
"1620","PF3D7_1209900","ABC transporter B family member 7, putative (ABCB7)"
"1621","PF3D7_1210000","50S ribosomal protein L1, apicoplast, putative (RPL1)"
"1622","PF3D7_1210100","syntaxin, Qa-SNARE family (SYN2)"
"1623","PF3D7_1210200","zinc finger protein, putative"
"1624","PF3D7_1210300","conserved Plasmodium protein, unknown function"
"1625","PF3D7_1210400","general transcription factor 3C polypeptide 5, putative"
"1626","PF3D7_1210500","conserved Plasmodium protein, unknown function"
"1627","PF3D7_1210600","conserved Plasmodium protein, unknown function"
"1628","PF3D7_1210700","conserved Plasmodium protein, unknown function"
"1629","PF3D7_1210800","small nucleolar RNA snoR14"
"1630","PF3D7_1210900","GPI mannosyltransferase I (PIGM)"
"1631","PF3D7_1211000","kinesin-7, putative"
"1632","PF3D7_1211100","HSP20-like chaperone"
"1633","PF3D7_1211200","conserved Plasmodium protein, unknown function"
"1634","PF3D7_1211300","DNA helicase MCM8, putative (MCM8)"
"1635","PF3D7_1211400","heat shock protein DNAJ homologue Pfj4 (PfJ4)"
"1636","PF3D7_1211500","mitochondrial ribosomal protein S18 precursor, putative"
"1637","PF3D7_1211600","lysine-specific histone demethylase 1, putative (LSD1)"
"1638","PF3D7_1211700","DNA replication licensing factor MCM5, putative (MCM5)"
"1639","PF3D7_1211800","polyubiquitin (PfpUB)"
"1640","PF3D7_1211900","non-SERCA-type Ca2+ -transporting P-ATPase (ATP4)"
"1641","PF3D7_1212000","glutathione peroxidase-like thioredoxin peroxidase (TPx(Gl))"
"1642","PF3D7_1212100","peripheral plastid protein 1, putative (PPP1)"
"1643","PF3D7_1212200","conserved Plasmodium protein, unknown function"
"1644","PF3D7_1212300","WD repeat-containing protein, putative"
"1645","PF3D7_1212400","tetratricopeptide repeat family protein, putative"
"1646","PF3D7_1212500","glycerol-3-phosphate 1-O-acyltransferase (GAT)"
"1647","PF3D7_1212600.1","conserved protein, unknown function"
"1648","PF3D7_1212700","eukaryotic translation initiation factor 3 subunit A, putative (EIF3A)"
"1649","PF3D7_1212800","iron-sulfur subunit of succinate dehydrogenase"
"1650","PF3D7_1212900","bromodomain protein 2, putative (BDP2)"
"1651","PF3D7_1213000","unspecified product"
"1652","PF3D7_1213100","U1 spliceosomal RNA"
"1653","PF3D7_1213200","conserved Plasmodium protein, unknown function"
"1654","PF3D7_1213300","conserved Plasmodium protein, unknown function"
"1655","PF3D7_1213400","conserved Plasmodium protein, unknown function"
"1656","PF3D7_1213500","integral membrane protein GPR180, putative"
"1657","PF3D7_1213600","dynein light chain 1, putative (DLC8)"
"1658","PF3D7_1213700","RNA polymerase subunit 8c, putative"
"1659","PF3D7_1213800","proline--tRNA ligase (PRS)"
"1660","PF3D7_1213900","conserved Plasmodium protein, unknown function"
"1661","PF3D7_1214000","conserved Plasmodium protein, unknown function"
"1662","PF3D7_1214100","GPI ethanolamine phosphate transferase 3, putative (PIGO)"
"1663","PF3D7_1214200","histone-lysine N-methyltransferase, putative (SET5)"
"1664","PF3D7_1214300","geranylgeranyl transferase type2 beta subunit, putative"
"1665","PF3D7_1214400","ER membrane protein complex subunit 6, putative (EMC6)"
"1666","PF3D7_1214500","conserved Plasmodium protein, unknown function"
"1667","PF3D7_1214600","adrenodoxin-type ferredoxin, putative"
"1668","PF3D7_1214700","conserved Plasmodium protein, unknown function"
"1669","PF3D7_1214800","conserved Plasmodium protein, unknown function"
"1670","PF3D7_1214900","conserved Plasmodium membrane protein, unknown function"
"1671","PF3D7_1215000","thioredoxin peroxidase 2 (Trx-Px2)"
"1672","PF3D7_1215100","conserved Plasmodium protein, unknown function"
"1673","PF3D7_1215200","peptidyl-prolyl cis-trans isomerase (CYP32)"
"1674","PF3D7_1215300","10 kDa chaperonin (CPN10)"
"1675","PF3D7_1215400","conserved Plasmodium protein, unknown function"
"1676","PF3D7_1215500","conserved Plasmodium protein, unknown function"
"1677","PF3D7_1215600","conserved Plasmodium protein, unknown function"
"1678","PF3D7_1215700","conserved Plasmodium protein, unknown function"
"1679","PF3D7_1215800","conserved Plasmodium protein, unknown function"
"1680","PF3D7_1215900","serpentine receptor, putative (SR10)"
"1681","PF3D7_1216000","serine--tRNA ligase, putative"
"1682","PF3D7_1216100","conserved Plasmodium membrane protein, unknown function"
"1683","PF3D7_1216200","glycerol-3-phosphate dehydrogenase, putative"
"1684","PF3D7_1216300","signal recognition particle subunit SRP19 (SRP19)"
"1685","PF3D7_1216400","conserved Plasmodium membrane protein, unknown function"
"1686","PF3D7_1216500","male development gene 1 (MDV1)"
"1687","PF3D7_1216600","cell traversal protein for ookinetes and sporozoites (CelTOS)"
"1688","PF3D7_1216700","perforin-like protein 2 (PLP2)"
"1689","PF3D7_1216800","tRNA Proline"
"1690","PF3D7_1216900","DNA-binding chaperone, putative"
"1691","PF3D7_1217000","conserved Plasmodium protein, unknown function"
"1692","PF3D7_1217100.1","meiotic recombination protein SPO11, putative (SPO11)"
"1693","PF3D7_1217200","snoRNA-associated small subunit rRNA processing protein, putative"
"1694","PF3D7_1217300","GTP-binding protein, putative"
"1695","PF3D7_1217400","conserved Plasmodium protein, unknown function"
